prompt_tokens,generated_tokens,ttft_sec,prefill_sec,decode_sec,total_latency_sec,decode_sec_per_token,peak_vram_mb
512,32.0,0.04796282450358073,0.04796282450358073,1.151597261428833,1.1996492544809978,0.03598741441965103,13942.94921875
1024,32.0,0.08628169695536296,0.08628169695536296,1.1581236521402996,1.244543155034383,0.03619136412938436,14065.21484375
2048,32.0,0.1614518960316976,0.1614518960316976,1.161676009496053,1.32335368792216,0.036302375296751656,14309.74609375
4096,32.0,0.32536133130391437,0.32536133130391437,1.1323634783426921,1.4579126040140789,0.03538635869820913,14798.80859375
