mode,prompt_tokens,generated_tokens,ttft_sec,prefill_sec,decode_sec,total_latency_sec,decode_sec_per_token,peak_vram_mb,decode_vram_mb
full_cache,4096.0,32.0,0.32602486610412595,0.32602486610412595,1.1283887386322022,1.4546133995056152,0.03526214808225632,14798.80859375,14798.80859375
kv_budget_1024,4096.0,32.0,0.3262909412384033,0.3262909412384033,1.2218414783477782,1.5483051776885985,0.03818254619836807,14838.7783203125,14710.7783203125
kv_budget_512,4096.0,32.0,0.32643857002258303,0.32643857002258303,1.2430387020111084,1.569702959060669,0.03884495943784714,14798.80859375,14646.7783203125
kv_budget_256,4096.0,32.0,0.3264647960662842,0.3264647960662842,1.2515100955963134,1.5782025337219239,0.039109690487384795,14798.80859375,14614.7783203125
