setting,prompt_tokens,ttft_sec,prefill_sec,decode_sec,latency_per_token_sec,peak_vram_mb
baseline_512,512,0.04796282450358073,0.04796282450358073,1.151597261428833,0.03598741441965103,13942.94921875
baseline_1024,1024,0.08628169695536296,0.08628169695536296,1.1581236521402996,0.03619136412938436,14065.21484375
baseline_2048,2048,0.1614518960316976,0.1614518960316976,1.161676009496053,0.036302375296751656,14309.74609375
baseline_4096,4096,0.32536133130391437,0.32536133130391437,1.1323634783426921,0.03538635869820913,14798.80859375
full_context_1024,1024,0.0846555233001709,0.0846555233001709,1.1154201030731201,0.034856878221035004,14065.21484375
reduced_context_512,512,0.04773585001627604,0.04773585001627604,1.137372096379598,0.035542878011862435,13942.94921875
window_512,512,0.04837163289388021,0.04837163289388021,1.1399543285369873,0.03562357276678085,13942.94921875
window_768,768,0.06312004725138347,0.06312004725138347,1.1132107575734456,0.034787836174170174,14037.95703125
window_1024,1024,0.08463780085245769,0.08463780085245769,1.118561029434204,0.03495503216981888,14065.21484375
