mode,prompt_tokens,generated_tokens,ttft_sec,prefill_sec,decode_sec,total_latency_sec,decode_sec_per_token,peak_vram_mb,decode_vram_mb
full_cache,2048.0,64.0,0.04125943183898926,0.04125943183898926,1.5709178924560547,1.6122698783874512,0.024545592069625855,2293.36962890625,2293.36962890625
kv_budget_1024,2048.0,64.0,0.040081453323364255,0.040081453323364255,1.7093115329742432,1.7494801521301269,0.02670799270272255,2322.3505859375,2300.3505859375
kv_budget_512,2048.0,64.0,0.04027743339538574,0.04027743339538574,1.694624137878418,1.7349915981292725,0.02647850215435028,2300.3505859375,2289.3505859375
kv_budget_256,2048.0,64.0,0.04039421081542969,0.04039421081542969,1.6948240756988526,1.7353082180023194,0.026481626182794572,2289.3505859375,2283.8505859375
