setting,prompt_tokens,ttft_sec,prefill_sec,decode_sec,latency_per_token_sec,peak_vram_mb
baseline_512,512,0.029134559631347656,0.029134559631347656,1.5564560413360595,0.02431962564587593,2153.314453125
baseline_1024,1024,0.03308677673339844,0.03308677673339844,1.5680208683013916,0.024500326067209244,2196.826171875
baseline_2048,2048,0.041301631927490236,0.041301631927490236,1.5587923526763916,0.02435613051056862,2293.36962890625
full_context_1024,1024,0.03148708343505859,0.03148708343505859,1.5507964611053466,0.02423119470477104,2196.826171875
reduced_context_512,512,0.029185676574707033,0.029185676574707033,1.559123945236206,0.02436131164431572,2153.314453125
window_512,512,0.02902812957763672,0.02902812957763672,1.544519853591919,0.024133122712373733,2153.36328125
window_768,768,0.029176950454711914,0.029176950454711914,1.5449218273162841,0.02413940355181694,2175.744140625
window_1024,1024,0.03106389045715332,0.03106389045715332,1.5279462814331055,0.023874160647392274,2196.875
